6.15 802867
12.64 1012844
13.59 1330964
14.64 1558894
15.60 1768686
16.64 1983387
17.65 2112859
19.57 2371773
20.65 2547320
21.61 2757768
22.64 2985477
23.63 3204230
24.64 3338329
26.62 3641941
27.66 3844157
28.66 4049516
29.61 4228082
30.59 4411301
31.66 4580779
33.61 4853200
34.61 5054192
35.64 5277503
36.62 5460745
37.68 5707656
38.69 5863894
40.73 6229923
41.66 6426977
42.64 6682640
43.66 6910295
44.67 7188073
45.66 7362732
47.63 7654840
48.60 7852746
49.67 8040891
50.62 8241225
51.60 8415173
52.68 8581794
54.69 8862718
55.63 9041429
56.69 9328799
57.65 9528607
58.60 9768359
59.72 9949874
61.58 10261250
62.60 10447250
63.76 10701867
64.67 10901194
65.66 11148427
66.66 11343381
68.67 11670794
69.58 11849392
70.56 12046602
71.64 12247589
72.64 12447128
73.67 12603394
75.63 12894384
76.63 13120841
77.68 13364039
78.72 13611735
79.67 13838556
80.68 14090802
82.60 14395528
83.67 14601708
84.58 14804334
85.68 15026877
86.57 15200274
87.60 15359050
89.61 15678219
90.73 15893126
91.59 16101765
92.61 16345210
93.68 16555477
94.67 16731607
96.60 17011025
97.63 17229597
98.62 17464704
99.66 17671577
100.66 17899622
101.70 18082639
103.70 18359464
104.65 18563606
105.79 18802284
106.60 19040645
107.66 19284771
108.66 19478014
110.72 19756993
111.67 19953280
112.62 20222299
113.60 20426561
114.69 20690741
115.66 20899344
117.70 21129883
118.65 21346283
119.65 21578285
120.63 21788202
121.63 22067441
122.66 22263689
124.72 22604641
125.66 22798147
126.66 23029046
127.61 23240981
128.71 23478290
129.66 23701483
131.67 24085354
132.58 24283384
133.65 24524393
134.72 24753625
135.66 24996054
137.0 25299071
