1.0 16484
1.158 214925
3.61 297644
5.95 415125
7.169 616645
9.110 728844
11.135 897364
13.114 1044324
15.248 1341985
15.338 1468705
17.61 1563305
19.14 1595645
19.33 1627765
21.155 1815864
21.188 1872625
23.288 2194045
25.152 2365205
27.145 2567385
27.170 2609184
27.357 2842825
29.125 3006504
31.273 3308564
31.394 3436604
31.522 3594565
33.152 3754725
33.210 3826445
33.292 3932704
33.349 4003104
33.392 4058324
33.701 4403725
33.753 4469725
33.792 4528904
33.891 4656724
33.967 4755945
33.1144 4988264
35.29 5029624
35.181 5212005
35.409 5494925
35.438 5532105
35.528 5631325
35.685 5826465
37.196 6025784
37.292 6162625
39.29 6212125
39.64 6252165
39.113 6317504
39.224 6432345
39.245 6476784
39.487 6808985
41.151 7018645
41.278 7148225
41.396 7288585
41.494 7427845
43.95 7538285
43.246 7704824
43.355 7819885
43.468 7968385
45.195 8192784
45.214 8225785
47.54 8310264
49.31 8353825
51.57 8471084
53.62 8546104
53.210 8717485
55.9 8745644
55.66 8805264
55.99 8885785
57.122 9030764
57.192 9131744
59.69 9241744
61.206 9508384
63.66 9585825
63.108 9669425
65.47 9732124
65.60 9762265
65.207 9946845
65.333 10096004
65.444 10242964
67.39 10296425
67.84 10356264
67.138 10438544
69.79 10594965
71.34 10644024
71.66 10693745
71.183 10840704
73.10 10872824
73.35 10915504
73.51 10963905
75.169 11194685
75.219 11288185
77.11 11316344
77.33 11358584
77.50 11412485
79.52 11482445
79.72 11512145
79.86 11550865
79.145 11633144
79.198 11721805
81.102 11845225
81.169 11945324
81.205 12011104
81.309 12142004
83.128 12296445
83.269 12473764
83.568 12804645
83.827 13103404
83.1046 13363005
83.1261 13610725
85.146 13773525
85.251 13903765
85.338 13999905
85.442 14127505
85.517 14262804
87.214 14498205
87.418 14736025
87.583 14911145
87.891 15279864
89.260 15549145
89.480 15832284
89.736 16148865
91.303 16497784
91.363 16600964
91.533 16828884
91.579 16922825
93.21 16961984
93.36 17002024
95.88 17103885
95.113 17162624
97.77 17258105
97.183 17379545
97.342 17579964
97.472 17742104
97.519 17805685
97.571 17879164
97.703 18055385
99.100 18181224
99.129 18247225
99.406 18584485
101.168 18799864
101.344 19036365
103.159 19227324
103.475 19623324
105.149 19828364
105.251 19938585
